830.0,396.0
793.0,417.0
795.0,425.0
793.0,443.0
792.0,458.0
797.0,474.0
824.0,527.0
789.0,394.0
786.0,376.0
780.0,353.0
776.0,342.0
765.0,324.0
828.0,354.0
852.0,352.0
870.0,354.0
925.0,378.0
849.0,420.0
867.0,405.0
867.0,448.0
879.0,464.0
894.0,482.0
885.0,435.0
895.0,444.0
903.0,423.0
846.0,524.0
849.0,372.0
811.0,386.0
814.0,327.0
807.0,295.0
881.0,282.0
876.0,265.0
795.0,549.0
759.0,568.0
770.0,602.0
794.0,639.0
846.0,551.0
858.0,553.0
871.0,567.0
878.0,574.0
891.0,590.0
890.0,610.0
814.0,676.0
881.0,508.0
